date,soi,oni,nino3,pna
197608,-0.8,0.4,0.97,-0.62
197609,-1.1,0.6,0.94,-0.04
197610,0.4,0.8,1.1,0.91
197611,0.7,0.9,1.05,1.72
197612,-0.3,0.8,0.76,0.21
197701,-0.4,0.7,0.95,1.6
197702,1.2,0.6,0.61,2.43
197703,-0.5,0.3,0.4,-0.69
197704,-0.4,0.2,-0.51,-0.32
197705,-0.5,0.2,-0.22,-0.56
197706,-0.9,0.3,0.16,0.57
197707,-1.1,0.4,0.15,-1.04
197708,-0.8,0.4,-0.21,2.2
197709,-0.8,0.6,0.01,-0.72
197710,-1,0.7,0.55,1.25
197711,-1.3,0.8,0.58,-0.22
197712,-1.1,0.8,0.53,-0.8
197801,-0.3,0.7,0.44,0.13
197802,-2.7,0.4,0.23,1.4
197803,-0.2,0.1,-0.14,-0.18
197804,-0.3,-0.2,-0.72,-0.19
197805,1.4,-0.3,-0.81,-0.73
197806,0.7,-0.3,-0.7,-0.92
197807,0.6,-0.4,-0.72,-2.43
197808,0.4,-0.4,-0.72,0.02
197809,0.1,-0.4,-0.47,1.38
197810,-0.4,-0.3,-0.14,0.69
197811,0,-0.1,-0.02,-0.48
197812,-0.1,0,0.26,-1.02
197901,-0.4,0,-0.09,-1.54
197902,1,0.1,-0.2,-2.73
197903,0.1,0.2,-0.08,0.08
197904,-0.1,0.3,0.24,-0.15
197905,0.5,0.2,0.08,1.27
197906,0.6,0,0.3,-1.64
197907,1.3,0,-0.04,0.51
197908,-0.2,0.2,0.47,0.67
197909,0.1,0.3,0.81,1.02
197910,-0.1,0.5,0.57,1.85
197911,-0.4,0.5,0.52,0.51
197912,-0.7,0.6,0.58,-0.68
198001,0.4,0.6,0.42,-1.01
198002,0.3,0.5,0.02,2.03
198003,-0.4,0.3,-0.13,-0.64
198004,-0.6,0.4,0.04,1.66
198005,0,0.5,0.07,-0.16
198006,0,0.5,0.35,-0.81
198007,0,0.3,-0.1,-0.81
198008,0.4,0,-0.18,-2.03
198009,-0.5,-0.1,-0.04,-0.08
198010,0,0,-0.26,2.87
198011,-0.3,0.1,0.01,1.28
198012,-0.1,0,0.2,-0.57
198101,0.4,-0.3,-0.74,2.46
198102,-0.2,-0.5,-0.65,0.21
198103,-1.3,-0.5,-0.24,1.27
198104,-0.1,-0.4,-0.33,-1.23
198105,0.8,-0.3,-0.21,1.83
198106,1.2,-0.3,-0.03,-0.1
198107,0.8,-0.3,-0.34,-1.02
198108,0.7,-0.2,-0.32,-1.54
198109,0.3,-0.2,0.04,0.08
198110,-0.4,-0.1,0.11,-1.43
198111,0.2,-0.2,-0.1,1.19
198112,0.5,-0.1,0.29,-0.42
198201,1.2,0,0.2,-1.75
198202,0.3,0.1,0.01,-1.2
198203,0.6,0.2,-0.11,-1.66
198204,0.1,0.5,0.2,-2.08
198205,-0.3,0.7,0.63,-0.53
198206,-1,0.7,0.89,2.17
198207,-1.5,0.8,0.62,0.49
198208,-1.7,1.1,1.12,0.31
198209,-1.7,1.6,1.81,0.83
198210,-1.7,2,2.34,-0.86
198211,-2.6,2.2,2.69,-0.47
198212,-2.2,2.2,3.07,0.45
198301,-3.5,2.2,2.9,0.87
198302,-3.6,1.9,2.44,1.44
198303,-2.4,1.5,2.01,2.03
198304,-0.9,1.3,1.73,0.98
198305,0.6,1.1,1.96,-0.08
198306,0,0.7,1.74,2.1
198307,-0.6,0.3,1.03,0.82
198308,0.1,-0.1,0.83,0.5
198309,0.9,-0.5,0.18,-1.37
198310,0.4,-0.8,-0.49,0.26
198311,-0.1,-1,-0.79,1.75
198312,0,-0.9,-0.62,-0.61
198401,0.2,-0.6,-0.61,0.6
198402,0.9,-0.4,-0.44,0.73
198403,-0.2,-0.3,-0.25,1.08
198404,0.3,-0.4,-0.43,1.41
198405,0.2,-0.5,-0.77,0.37
