SALE TYPE,SOLD DATE,PROPERTY TYPE,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,Portland,OR,97236.0,125000.0,,,Abbies Addition,,9147.0,,90.0,,,Active,,,RMLS,18117246,N,Y,45.51456187693711,-122.51284812306288
MLS Listing,,Vacant Land,Portland,OR,97266.0,125000.0,,,Portland Southeast,,10018.0,,133.0,,,Active,,,RMLS,18372704,N,Y,45.46335958968863,-122.56230151031137
MLS Listing,,Vacant Land,Milwaukie,OR,97222.0,128000.0,,,Bell View,,7405.0,,58.0,,,Active,,,RMLS,18258911,N,Y,45.477830088818095,-122.5715412111819
MLS Listing,,Condo/Co-op,Portland,OR,97219.0,129900.0,2.0,1.0,"Portland West, Raleigh Hills",921.0,,1973.0,24.0,141.0,455.0,Active,September-23-2018 12:00 PM,September-23-2018 04:00 PM,RMLS,18077291,N,Y,45.449868036448926,-122.71913626355108
MLS Listing,,Condo/Co-op,Lake Oswego,OR,97035.0,129900.0,1.0,1.0,MOUNTAIN PARK,665.0,,1979.0,84.0,195.0,276.0,Active,,,RMLS,18083398,N,Y,45.455703847252124,-122.69045565274787
MLS Listing,,Vacant Land,Portland,OR,97266.0,129900.0,,,Portland Southeast,,12196.0,,189.0,,,Active,,,RMLS,18214503,N,Y,45.46925912273578,-122.57163097726422
MLS Listing,,Vacant Land,Portland,OR,97221.0,130000.0,,,Bridlemile,,13939.0,,1309.0,,,Active,,,RMLS,15699721,N,Y,45.504705666710215,-122.70135863328977
MLS Listing,,Condo/Co-op,Portland,OR,97229.0,130000.0,1.0,1.0,WESTLAKE VILLAGE CONDO,596.0,,1979.0,42.0,218.0,392.0,Active,,,RMLS,18532952,N,Y,45.524263903673656,-122.80805209632634
MLS Listing,,Vacant Land,Portland,OR,97219.0,135000.0,,,"Portland West, Raleigh Hills",,10890.0,,153.0,,,Active,,,RMLS,18003284,N,Y,45.47468297012961,-122.7151151298704
MLS Listing,,Condo/Co-op,Portland,OR,97229.0,136000.0,1.0,1.0,NW Washington Co or Sauvie Island,596.0,,1979.0,8.0,228.0,288.0,Active,,,RMLS,18629935,N,Y,45.525530581459606,-122.8072877185404
MLS Listing,,Single Family Residential,Portland,OR,97211.0,139000.0,0.0,1.0,McCuddys Marina,375.0,,1980.0,22.0,371.0,,Active,,,RMLS,18517414,N,Y,45.62740581110547,-122.60821998889452
MLS Listing,,Condo/Co-op,Portland,OR,97236.0,139700.0,2.0,1.0,Portland Southeast,796.0,,1974.0,67.0,176.0,357.0,Active,,,RMLS,18199663,N,Y,45.529684086890946,-122.49400751310905
MLS Listing,,Vacant Land,Happy Valley,OR,97086.0,139900.0,,,"Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",,44431.0,,190.0,,,Active,,,RMLS,18462598,N,Y,45.48038339873377,-122.50410260126623
MLS Listing,,Condo/Co-op,Tigard,OR,97223.0,139900.0,2.0,1.0,METZGER,776.0,,1979.0,49.0,180.0,285.0,Active,,,RMLS,18134688,N,Y,45.45522771077762,-122.75726618922238
MLS Listing,,Vacant Land,Milwaukie,OR,97222.0,140000.0,,,Haney View,,10018.0,,248.0,,,Active,,,RMLS,18205157,N,Y,45.464273170921444,-122.58536182907854
MLS Listing,,Vacant Land,Portland,OR,97219.0,140000.0,,,"Portland West, Raleigh Hills",,5662.0,,51.0,,,Active,,,RMLS,18651166,N,Y,45.46378243647156,-122.68364756352845
MLS Listing,,Vacant Land,Portland,OR,97211.0,144340.0,,,Portland Northeast,,2613.0,,468.0,,,Active,,,RMLS,17515256,N,Y,45.59021195237891,-122.63026004762109
MLS Listing,,Condo/Co-op,Portland,OR,97219.0,144500.0,2.0,1.0,"Portland West, Raleigh Hills",921.0,,1973.0,33.0,157.0,454.0,Active,,,RMLS,18044813,N,Y,45.4626988949915,-122.70564830500851
MLS Listing,,Condo/Co-op,Portland,OR,97219.0,144900.0,2.0,1.0,WEST PORTLAND PARK,921.0,,1973.0,90.0,157.0,454.0,Active,,,RMLS,18695589,N,Y,45.45947593624169,-122.7079117637583
MLS Listing,,Condo/Co-op,Lake Oswego,OR,97035.0,145000.0,1.0,1.0,Building 2,764.0,,1978.0,225.0,190.0,297.0,Active,,,RMLS,18115486,N,Y,45.42841865823011,-122.72091404176989
