SALE TYPE,SOLD DATE,PROPERTY TYPE,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,Tigard,OR,97223,425000,3.0,2.5,Metzger,1752.0,18730.0,1959.0,31.0,243.0,,Active,,,RMLS,18514941,N,Y,45.45243465667028,-122.74447104332972
MLS Listing,,Single Family Residential,Portland,OR,97223,569900,4.0,3.5,Heights 02,3022.0,5227.0,2001.0,34.0,189.0,,Active,,,RMLS,18213089,N,Y,45.41454817372882,-122.84739242627118
MLS Listing,,Single Family Residential,Tigard,OR,97224,494000,3.0,2.5,ARBOR POINTE,2604.0,4791.0,2007.0,35.0,190.0,133.0,Active,,,RMLS,18317832,N,Y,45.402535327894725,-122.85570507210528
MLS Listing,,Townhouse,Portland,OR,97223,382000,3.0,3.5,"Magnolia Woods, Garden Home",1829.0,,2004.0,35.0,209.0,300.0,Active,,,RMLS,18139392,N,Y,45.483365569596344,-122.73740433040366
MLS Listing,,Single Family Residential,Portland,OR,97219,850000,5.0,6.0,"Portland West, Raleigh Hills",4045.0,15245.0,1989.0,35.0,210.0,,Active,,,RMLS,18578406,N,Y,45.428421731895305,-122.74321876810471
MLS Listing,,Single Family Residential,Portland,OR,97219,699000,4.0,3.5,"Portland West, Raleigh Hills",3481.0,18295.0,1987.0,37.0,201.0,,Active,,,RMLS,18071768,N,Y,45.454828496814834,-122.73593100318517
MLS Listing,,Single Family Residential,Tigard,OR,97224,412750,2.0,2.0,"Tigard, Tualatin, Sherwood, Wilsonville",1682.0,5662.0,1989.0,38.0,245.0,75.0,Active,,,RMLS,18472328,N,Y,45.42103448444652,-122.78744901555348
MLS Listing,,Condo/Co-op,Tigard,OR,97224,237000,2.0,2.0,HIGHLAND PARK CONDO,1128.0,,1992.0,38.0,210.0,300.0,Active,September-23-2018 12:00 PM,September-23-2018 02:00 PM,RMLS,18015153,N,Y,45.41615496433829,-122.79603293566173
MLS Listing,,Single Family Residential,Tigard,OR,97223,649999,5.0,3.0,Ventura Estates,3239.0,6098.0,2002.0,42.0,201.0,,Active,,,RMLS,18400923,N,Y,45.47893688779264,-122.71627571220733
MLS Listing,,Single Family Residential,Tigard,OR,97224,474900,3.0,2.5,"Tigard, Tualatin, Sherwood, Wilsonville",2728.0,4356.0,2005.0,43.0,174.0,70.0,Active,September-23-2018 12:00 PM,September-23-2018 02:00 PM,RMLS,18306005,N,Y,45.45037105689596,-122.76369304310404
MLS Listing,,Single Family Residential,Tigard,OR,97224,799000,4.0,3.0,Bull Mountian,3774.0,43560.0,1970.0,43.0,212.0,,Active,,,RMLS,18490344,N,Y,45.43729876119601,-122.788511538804
MLS Listing,,Condo/Co-op,Tigard,OR,97224,247500,2.0,2.0,Highlands,1128.0,,1990.0,47.0,219.0,300.0,Active,,,RMLS,18618970,N,Y,45.392502692219,-122.82055140778098
MLS Listing,,Single Family Residential,Tigard,OR,97224,739000,4.0,3.5,BULL MOUNTAIN,3960.0,7405.0,2008.0,49.0,187.0,,Active,,,RMLS,18364592,N,Y,45.41943053286837,-122.81022966713161
