SALE TYPE,SOLD DATE,PROPERTY TYPE,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,Portland,OR,97230,634950,3.0,2.5,COLUMBIA RIDGE MARINA,2424.0,,2007.0,426.0,262.0,295.0,Active,,,RMLS,17678409,N,Y,45.550544500161365,-122.48155549983863
MLS Listing,,Vacant Land,Gresham,OR,97080,49900,,,"Gresham, Sandy, Troutdale, Corbett",,7405.0,,439.0,,,Active,,,RMLS,17313766,N,Y,45.49515444709893,-122.39594155290106
MLS Listing,,Vacant Land,Gresham,OR,97080,49900,,,"Gresham, Sandy, Troutdale, Corbett",,5662.0,,439.0,,,Active,,,RMLS,17213221,N,Y,45.49409198798961,-122.39720701201038
MLS Listing,,Vacant Land,Gresham,OR,97030,225000,,,"Gresham, Sandy, Troutdale, Corbett",,4791.0,,457.0,,,Active,,,RMLS,17251632,N,Y,45.491281860957265,-122.43450923904273
MLS Listing,,Multi-Family (2-4 Unit),Gresham,OR,97080,315000,,,"Gresham, Sandy, Troutdale, Corbett",,,1952.0,535.0,,,Active,,,RMLS,17113884,N,Y,45.50894927772483,-122.39890512227515
MLS Listing,,Single Family Residential,Portland,OR,97035,150000,0.0,0.5,COLUMBIA RIDGE MARINA,,,1997.0,670.0,,295.0,Active,,,RMLS,16289717,N,Y,45.58537433172152,-122.44672566827849
MLS Listing,,Vacant Land,Gresham,OR,97030,250000,,,"Gresham, Sandy, Troutdale, Corbett",,10890.0,,700.0,,,Active,,,RMLS,16146501,N,Y,45.515726513711364,-122.41663338628861
MLS Listing,,Vacant Land,Gresham,OR,97080,320000,,,"Gresham, Sandy, Troutdale, Corbett",,217800.0,,741.0,,,Active,,,RMLS,16277392,N,Y,45.48159457784955,-122.43185042215043
MLS Listing,,Vacant Land,Gresham,OR,97080,122500,,,"Gresham, Sandy, Troutdale, Corbett",,6098.0,,858.0,,38.0,Active,,,RMLS,16081368,N,Y,45.48433887130673,-122.41930212869329
For-Sale-by-Owner Listing,,Single Family Residential,Portland,OR,97236,339900,3.0,2.0,Portland,981.0,18730.0,1893.0,338.0,346.0,,Active,,,Fizber.com,4936239,N,Y,45.47500753152717,-122.51264706847284
New Construction Home,,Single Family Residential,Gresham,OR,97080,489900,5.0,3.0,Homestead at Brookside,2892.0,,2018.0,1.0,169.0,,Active,,,NewHomeSource.com,1516761,N,Y,45.48505852523843,-122.44014147476159
New Construction Home,,Single Family Residential,Gresham,OR,97080,519900,4.0,3.5,Homestead at Brookside,3180.0,,2018.0,1.0,163.0,,Active,,,NewHomeSource.com,1516762,N,Y,45.4759108826165,-122.44928911738351
New Construction Plan,,Single Family Residential,Gresham,OR,97080,489900,4.0,3.0,Homestead at Brookside,2807.0,,,,175.0,,Active,,,NewHomeSource.com,Plan-61507679,N,Y,45.487199483940245,-122.44250051605975
New Construction Plan,,Single Family Residential,Gresham,OR,97080,489900,5.0,3.0,Homestead at Brookside,2892.0,,,,169.0,,Active,,,NewHomeSource.com,Plan-61507680,N,Y,45.47264982122326,-122.45705017877674
New Construction Plan,,Single Family Residential,Gresham,OR,97080,519900,4.0,3.5,Homestead at Brookside,3180.0,,,,163.0,,Active,,,NewHomeSource.com,Plan-61507681,N,Y,45.50652042337915,-122.42317957662085
New Construction Plan,,Single Family Residential,Gresham,OR,97080,315995,3.0,2.5,Crestview Village,1497.0,,,,211.0,,Active,,,NewHomeSource.com,Plan-51520041,N,Y,45.475462287556404,-122.41941171244358
New Construction Plan,,Single Family Residential,Gresham,OR,97080,494900,3.0,2.5,Homestead at Brookside,2822.0,,,,175.0,,Active,,,NewHomeSource.com,Plan-61507678,N,Y,45.48859767499356,-122.44110232500644
New Construction Plan,,Single Family Residential,Gresham,OR,97080,462900,4.0,3.0,Homestead at Brookside,2448.0,,,,189.0,,Active,,,NewHomeSource.com,Plan-61507677,N,Y,45.48267743673088,-122.44702256326912
New Construction Plan,,Single Family Residential,Gresham,OR,97080,434900,4.0,2.0,Homestead at Brookside,1946.0,,,,223.0,,Active,,,NewHomeSource.com,Plan-61507675,N,Y,45.50151853617403,-122.42818146382596
New Construction Plan,,Single Family Residential,Gresham,OR,97080,449900,3.0,2.5,Homestead at Brookside,2322.0,,,,194.0,,Active,,,NewHomeSource.com,Plan-61507676,N,Y,45.49297764158902,-122.43672235841098
New Construction Plan,,Single Family Residential,Gresham,OR,97080,325995,3.0,2.5,Crestview Village,1671.0,,,,195.0,,Active,,,NewHomeSource.com,Plan-51520039,N,Y,45.4990023130311,-122.39587168696889
New Construction Plan,,Single Family Residential,Gresham,OR,97080,474900,3.0,2.5,Homestead at Brookside,2557.0,,,,186.0,,Active,,,NewHomeSource.com,Plan-51507682,N,Y,45.47328638020032,-122.45641361979968
